,Motif 78 (3A),Motif 238 (3B)
Timestep 50,359,117
Timestep 100,293,118
Timestep 150,203,83
Timestep 200,242,106
Timestep 250,246,103
Timestep 300,267,91
Timestep 350,261,87
Timestep 400,363,132
Timestep 450,446,165
Timestep 500,391,165
Timestep 550,363,151
Timestep 600,379,143
Timestep 650,374,153
Timestep 700,474,180
Timestep 750,625,225
Timestep 800,741,294
Timestep 850,720,287
Timestep 900,668,252
Timestep 950,577,213
Timestep 1000,491,193
Timestep 1050,397,125
Timestep 1100,313,120
Timestep 1150,221,97
Timestep 1200,187,78
Timestep 1250,212,93
Timestep 1300,254,109
Timestep 1350,255,108
Timestep 1400,211,91
Timestep 1450,171,74
Timestep 1500,169,63
Timestep 1550,173,51
Timestep 1600,184,60
Timestep 1650,238,76
Timestep 1700,317,112
Timestep 1750,319,104
Timestep 1800,502,197
Timestep 1850,557,198
Timestep 1900,564,202
Timestep 1950,631,224
Timestep 2000,482,191
Timestep 2050,351,135
Timestep 2100,299,124
Timestep 2150,296,115
Timestep 2200,292,119
Timestep 2250,275,100
Timestep 2300,322,139
Timestep 2350,349,149
Timestep 2400,240,103
Timestep 2450,250,109
Timestep 2500,236,108
Timestep 2550,269,108
Timestep 2600,403,129
Timestep 2650,343,117
Timestep 2700,395,146
Timestep 2750,353,131
Timestep 2800,402,151
Timestep 2850,491,191
Timestep 2900,583,230
Timestep 2950,569,229
Timestep 3000,484,184
Timestep 3050,454,161
Timestep 3100,370,134
Timestep 3150,316,126
Timestep 3200,228,79
Timestep 3250,218,82
Timestep 3300,216,84
Timestep 3350,171,71
Timestep 3400,157,67
Timestep 3450,140,52
Timestep 3500,157,68
Timestep 3550,236,80
Timestep 3600,284,119
Timestep 3650,301,117
Timestep 3700,324,137
Timestep 3750,328,135
Timestep 3800,351,124
Timestep 3850,338,136
Timestep 3900,244,81
Timestep 3950,253,87
Timestep 4000,201,69
Timestep 4050,199,60
Timestep 4100,206,63
Timestep 4150,233,77
Timestep 4200,214,76
Timestep 4250,166,69
Timestep 4300,171,80
Timestep 4350,178,69
Timestep 4400,220,75
Timestep 4450,225,83
Timestep 4500,275,103
Timestep 4550,254,91
Timestep 4600,228,100
Timestep 4650,255,108
Timestep 4700,298,99
Timestep 4750,349,128
Timestep 4800,349,119
Timestep 4850,351,136
Timestep 4900,346,128
Timestep 4950,309,126
Timestep 5000,313,128
Timestep 5050,299,111
Timestep 5100,303,136
Timestep 5150,248,90
Timestep 5200,200,80
Timestep 5250,203,82
Timestep 5300,202,75
Timestep 5350,197,69
Timestep 5400,288,105
Timestep 5450,336,146
Timestep 5500,364,141
Timestep 5550,275,100
Timestep 5600,313,114
Timestep 5650,326,100
Timestep 5700,344,146
Timestep 5750,337,135
Timestep 5800,352,126
Timestep 5850,373,126
Timestep 5900,330,116
Timestep 5950,275,108
Timestep 6000,259,122
Timestep 6050,279,113
Timestep 6100,219,94
Timestep 6150,226,84
Timestep 6200,175,78
Timestep 6250,292,127
Timestep 6300,262,113
Timestep 6350,253,108
Timestep 6400,279,108
Timestep 6450,260,88
Timestep 6500,249,98
Timestep 6550,209,73
Timestep 6600,229,88
Timestep 6650,219,86
Timestep 6700,231,92
Timestep 6750,264,82
Timestep 6800,243,86
Timestep 6850,288,106
Timestep 6900,262,88
Timestep 6950,300,113
Timestep 7000,265,115
Timestep 7050,220,82
Timestep 7100,171,64
Timestep 7150,160,59
Timestep 7200,135,64
Timestep 7250,129,64
Timestep 7300,137,60
Timestep 7350,161,68
Timestep 7400,197,82
Timestep 7450,233,97
Timestep 7500,257,104
Timestep 7550,255,94
Timestep 7600,213,95
Timestep 7650,288,113
Timestep 7700,316,144
Timestep 7750,354,121
Timestep 7800,332,125
Timestep 7850,301,118
Timestep 7900,268,100
Timestep 7950,314,117
Timestep 8000,360,139
Timestep 8050,274,110
Timestep 8100,242,86
Timestep 8150,264,101
Timestep 8200,192,62
Timestep 8250,164,56
Timestep 8300,133,57
Timestep 8350,128,61
Timestep 8400,145,67
Timestep 8450,131,61
Timestep 8500,174,74
Timestep 8550,187,73
Timestep 8600,195,66
Timestep 8650,182,82
Timestep 8700,184,80
Timestep 8750,230,84
Timestep 8800,243,92
Timestep 8850,266,91
Timestep 8900,238,90
Timestep 8950,281,112
Timestep 9000,322,123
Timestep 9050,294,124
Timestep 9100,281,137
Timestep 9150,238,98
Timestep 9200,232,87
Timestep 9250,269,114
Timestep 9300,222,97
Timestep 9350,207,67
Timestep 9400,245,77
Timestep 9450,241,97
Timestep 9500,247,97
Timestep 9550,273,91
Timestep 9600,280,114
Timestep 9650,322,118
Timestep 9700,372,142
Timestep 9750,396,150
Timestep 9800,340,143
Timestep 9850,328,131
Timestep 9900,262,84
Timestep 9950,281,121
Timestep 10000,234,92
