,Motif 4382 (4A),Motif 4698 (4B),Motif 4958 (4C),Motif 13260 (4D),Motif 13278 (4E),Motif 31710 (4F)
Timestep 50,94,636,374,13,129,26
Timestep 100,50,447,329,2,98,31
Timestep 150,34,298,148,4,56,21
Timestep 200,35,323,253,5,76,25
Timestep 250,38,395,252,2,82,27
Timestep 300,45,442,274,4,74,14
Timestep 350,43,440,275,9,77,18
Timestep 400,99,740,515,14,165,43
Timestep 450,158,956,746,32,229,69
Timestep 500,94,802,562,16,204,66
Timestep 550,76,752,533,13,183,55
Timestep 600,98,738,479,12,175,43
Timestep 650,85,681,496,17,191,52
Timestep 700,143,988,713,20,228,65
Timestep 750,240,1533,1047,59,356,90
Timestep 800,251,1996,1490,61,536,152
Timestep 850,282,1791,1380,73,526,141
Timestep 900,262,1688,1184,46,416,99
Timestep 950,174,1421,997,30,320,79
Timestep 1000,137,1174,780,16,276,75
Timestep 1050,106,906,517,12,156,30
Timestep 1100,67,611,429,7,131,41
Timestep 1150,35,305,225,3,84,25
Timestep 1200,23,244,161,5,67,15
Timestep 1250,28,281,204,2,76,23
Timestep 1300,43,361,262,10,111,27
Timestep 1350,57,371,307,6,106,35
Timestep 1400,29,301,215,3,68,27
Timestep 1450,23,198,145,2,57,13
Timestep 1500,22,227,125,4,36,7
Timestep 1550,30,270,129,2,32,4
Timestep 1600,27,277,149,2,48,9
Timestep 1650,50,391,236,3,60,13
Timestep 1700,70,573,380,15,119,27
Timestep 1750,99,645,384,9,122,23
Timestep 1800,165,1137,778,27,307,84
Timestep 1850,185,1372,885,32,300,67
Timestep 1900,218,1404,944,30,315,81
Timestep 1950,291,1532,1024,68,377,92
Timestep 2000,129,1161,707,24,277,73
Timestep 2050,72,661,414,10,163,33
Timestep 2100,71,514,366,16,122,35
Timestep 2150,88,454,375,29,147,39
Timestep 2200,73,554,441,10,118,44
Timestep 2250,64,478,357,20,113,25
Timestep 2300,108,569,513,11,169,52
Timestep 2350,86,757,576,21,241,64
Timestep 2400,56,432,306,9,121,35
Timestep 2450,45,400,302,7,114,34
Timestep 2500,36,437,273,1,102,35
Timestep 2550,53,483,317,11,108,28
Timestep 2600,119,895,554,26,175,34
Timestep 2650,81,655,413,22,163,37
Timestep 2700,76,848,524,12,194,46
Timestep 2750,74,755,464,14,162,36
Timestep 2800,98,879,554,19,193,52
Timestep 2850,146,1257,813,22,273,75
Timestep 2900,187,1498,1085,34,384,111
Timestep 2950,187,1437,1015,50,365,105
Timestep 3000,123,1132,751,31,262,77
Timestep 3050,135,1115,715,26,234,60
Timestep 3100,119,822,504,16,163,40
Timestep 3150,86,603,399,7,141,40
Timestep 3200,27,332,228,4,79,18
Timestep 3250,41,295,201,8,89,22
Timestep 3300,35,316,216,2,83,20
Timestep 3350,27,243,150,9,59,16
Timestep 3400,19,163,142,1,51,20
Timestep 3450,22,163,131,0,24,9
Timestep 3500,27,238,164,0,52,11
Timestep 3550,50,411,251,15,82,16
Timestep 3600,64,439,336,14,146,39
Timestep 3650,79,452,366,32,147,31
Timestep 3700,52,670,416,7,150,48
Timestep 3750,74,658,427,11,154,39
Timestep 3800,89,634,437,29,152,29
Timestep 3850,81,593,455,7,160,41
Timestep 3900,44,405,226,7,84,12
Timestep 3950,62,404,259,11,82,15
Timestep 4000,33,320,159,3,52,12
Timestep 4050,40,311,170,3,47,7
Timestep 4100,39,326,196,2,48,13
Timestep 4150,36,415,237,5,74,14
Timestep 4200,35,396,259,5,66,22
Timestep 4250,23,232,143,4,57,18
Timestep 4300,15,227,201,5,68,26
