"","x"
"1",1.99
"2",19.09
"3",19.09
"4",19.09
"5",19.09
"6",19.1
"7",19.1
"8",19.09
"9",19.09
"10",19.09
"11",19.09
"12",19.09
"13",19.09
"14",19.1
"15",18.32
"16",17.47
"17",17.47
"18",17.47
"19",16.81
"20",16.83
"21",16.43
"22",16.56
"23",16.4
"24",16.41
"25",17.19
"26",18.59
"27",18.59
"28",18.59
"29",18.44
"30",18.44
"31",18.43
"32",18.42
"33",18.43
"34",18.42
"35",18.47
"36",18.35
"37",18.36
"38",16.97
"39",15.2
"40",15.06
"41",15.08
"42",15.41
"43",15.42
"44",15.17
"45",16.04
"46",15.31
"47",15.31
"48",15.35
"49",14.65
"50",14.63
"51",13.87
"52",13.82
"53",13.77
"54",13.75
"55",13.68
"56",12.92
"57",12.95
"58",13.07
"59",13.07
"60",13.21
"61",13.7
"62",13.8
"63",13.76
"64",13.76
"65",7.94
"66",14.85
"67",14.85
"68",14.68
"69",15.03
"70",10.97
"71",12.9
"72",12.9
"73",12.84
"74",12.84
"75",13.43
"76",13.43
"77",13.43
"78",9.09
"79",6.66
"80",6.7
"81",6.7
"82",6.69
"83",6.75
"84",7.03
"85",7.06
"86",7.05
"87",7.05
"88",7.08
"89",7.21
"90",7.55
"91",7.55
"92",7.56
"93",7.56
"94",7.56
"95",7.9
"96",7.9
"97",7.86
"98",11.9
"99",12.08
"100",11.99
"101",11.99
"102",11.98
"103",11.98
"104",11.84
"105",12.43
"106",12.43
"107",11.95
"108",11.99
"109",12
"110",12.01
"111",12.01
"112",12.11
"113",12.18
"114",12.17
"115",12.18
"116",12.18
"117",12.19
"118",12.76
"119",12.14
"120",12.15
"121",12.52
"122",12.48
"123",11.69
"124",11.69
"125",11.69
"126",10.67
"127",10.67
"128",10.89
"129",10.02
"130",9.53
"131",9.97
"132",10.91
"133",10.91
"134",11.31
"135",11.31
"136",11.76
"137",11.75
"138",11.15
"139",11.26
"140",10.7
"141",11.13
"142",7.63
"143",7.86
"144",7.87
"145",10.7
"146",10.12
"147",10.15
"148",10.14
"149",9.72
"150",9.72
"151",10
"152",10.01
"153",10.01
"154",10.01
"155",9.6
"156",9.59
"157",9.59
"158",9.56
"159",9.52
"160",9.57
"161",9.57
"162",9.03
"163",9.01
"164",9.01
"165",9.01
"166",5.64
"167",5.64
"168",5.65
"169",5.46
"170",5.86
"171",6.42
"172",6.16
"173",6.4
"174",9.38
"175",7.79
"176",7.64
"177",7.71
"178",7.71
"179",7.71
"180",7.71
"181",7.71
"182",8.17
"183",8.17
"184",9.39
"185",9.46
"186",11.56
"187",11.56
"188",9.29
"189",9.28
"190",9.3
"191",9.3
"192",9.44
"193",9.44
"194",9.44
"195",9.55
"196",9.55
"197",9.47
"198",9.59
"199",9.57
"200",8.93
"201",8.94
"202",8.44
"203",8.37
"204",8.37
"205",8.49
"206",8.43
"207",8.43
"208",8.42
"209",8.43
"210",8.42
"211",8.43
"212",8.41
"213",8.8
"214",8.54
"215",8.14
"216",8.14
"217",7.71
"218",7.7
"219",7.7
"220",7.12
"221",7.13
"222",6.8
"223",6.8
"224",6.8
"225",6.8
"226",6.8
"227",6.81
"228",6.79
"229",6.79
"230",6.8
"231",6.83
"232",6.83
"233",6.87
"234",6.84
"235",6.85
"236",6.85
"237",6.86
"238",6.86
"239",6.88
"240",7.07
"241",6.74
"242",6.67
"243",6.67
"244",6.94
"245",6.94
"246",7.45
"247",7.4
"248",7.4
"249",7.4
"250",7.69
"251",7.69
"252",7.65
"253",7.65
"254",7.69
"255",7.69
"256",7.69
"257",7.65
"258",7.41
"259",7.52
"260",7.98
"261",7.98
"262",7.98
"263",7.98
"264",5.15
"265",5.19
"266",5.18
"267",5.52
"268",5.52
"269",5.52
"270",5.45
"271",5.23
"272",5.23
"273",5.33
"274",5.08
"275",5.09
"276",4.94
"277",4.91
"278",4.91
"279",4.93
"280",4.94
"281",6.99
"282",7.36
"283",7.36
"284",7.94
"285",6.7
"286",6.93
"287",6.8
"288",6.79
"289",6.91
"290",6.89
"291",6.78
"292",6.71
"293",6.71
"294",6.71
"295",6.7
"296",6.56
"297",6.5
"298",6.47
"299",6.42
"300",7.6
"301",7.33
"302",7.33
"303",7.46
"304",7.44
"305",7.24
"306",7.24
"307",7.15
"308",7.15
"309",7.12
"310",7.12
"311",7.25
